Date,Open,High,Low,Close,Adj Close,Volume
2019-05-28,259.420013,259.420013,259.420013,259.420013,242.736252,0
2019-05-29,257.630005,257.630005,257.630005,257.630005,241.061356,0
2019-05-30,258.200012,258.200012,258.200012,258.200012,241.594711,0
2019-05-31,254.850006,254.850006,254.850006,254.850006,238.460190,0
2019-06-03,254.149994,254.149994,254.149994,254.149994,237.805176,0
2019-06-04,259.600006,259.600006,259.600006,259.600006,242.904694,0
2019-06-05,261.750000,261.750000,261.750000,261.750000,244.916458,0
2019-06-06,263.429993,263.429993,263.429993,263.429993,246.488312,0
2019-06-07,266.220001,266.220001,266.220001,266.220001,249.098938,0
2019-06-10,267.459991,267.459991,267.459991,267.459991,250.259155,0
2019-06-11,267.380005,267.380005,267.380005,267.380005,250.184372,0
2019-06-12,266.839996,266.839996,266.839996,266.839996,249.679062,0
2019-06-13,268.010010,268.010010,268.010010,268.010010,250.773834,0
2019-06-14,267.619995,267.619995,267.619995,267.619995,250.408920,0
2019-06-17,267.869995,267.869995,267.869995,267.869995,250.642822,0
2019-06-18,270.480011,270.480011,270.480011,270.480011,253.084946,0
2019-06-19,271.290009,271.290009,271.290009,271.290009,253.842880,0
2019-06-20,273.880005,273.880005,273.880005,273.880005,256.266357,0
2019-06-21,273.549988,273.549988,273.549988,273.549988,255.957550,0
2019-06-24,273.079987,273.079987,273.079987,273.079987,255.517731,0
2019-06-25,270.489990,270.489990,270.489990,270.489990,253.094299,0
2019-06-26,268.760010,268.760010,268.760010,268.760010,252.773621,0
2019-06-27,269.829987,269.829987,269.829987,269.829987,253.779953,0
2019-06-28,271.399994,271.399994,271.399994,271.399994,255.256592,0
2019-07-01,273.480011,273.480011,273.480011,273.480011,257.212830,0
2019-07-02,274.290009,274.290009,274.290009,274.290009,257.974701,0
2019-07-03,276.459991,276.459991,276.459991,276.459991,260.015594,0
2019-07-05,275.989990,275.989990,275.989990,275.989990,259.573517,0
2019-07-08,274.660004,274.660004,274.660004,274.660004,258.322693,0
2019-07-09,275.079987,275.079987,275.079987,275.079987,258.717560,0
2019-07-10,276.329987,276.329987,276.329987,276.329987,259.893280,0
2019-07-11,276.959991,276.959991,276.959991,276.959991,260.485870,0
2019-07-12,278.260010,278.260010,278.260010,278.260010,261.708557,0
2019-07-15,278.309998,278.309998,278.309998,278.309998,261.755585,0
2019-07-16,277.369995,277.369995,277.369995,277.369995,260.871399,0
2019-07-17,275.559998,275.559998,275.559998,275.559998,259.169098,0
2019-07-18,276.579987,276.579987,276.579987,276.579987,260.128448,0
2019-07-19,274.880005,274.880005,274.880005,274.880005,258.529633,0
2019-07-22,275.660004,275.660004,275.660004,275.660004,259.263214,0
2019-07-23,277.549988,277.549988,277.549988,277.549988,261.040710,0
2019-07-24,278.859985,278.859985,278.859985,278.859985,262.272827,0
2019-07-25,277.399994,277.399994,277.399994,277.399994,260.899658,0
2019-07-26,279.450012,279.450012,279.450012,279.450012,262.827759,0
2019-07-29,279.000000,279.000000,279.000000,279.000000,262.404541,0
2019-07-30,278.309998,278.309998,278.309998,278.309998,261.755585,0
2019-07-31,275.279999,275.279999,275.279999,275.279999,258.905823,0
2019-08-01,272.839996,272.839996,272.839996,272.839996,256.610931,0
2019-08-02,270.869995,270.869995,270.869995,270.869995,254.758087,0
2019-08-05,262.809998,262.809998,262.809998,262.809998,247.177475,0
2019-08-06,266.260010,266.260010,266.260010,266.260010,250.422348,0
2019-08-07,266.470001,266.470001,266.470001,266.470001,250.619781,0
2019-08-08,271.549988,271.549988,271.549988,271.549988,255.397705,0
2019-08-09,269.799988,269.799988,269.799988,269.799988,253.751755,0
2019-08-12,266.619995,266.619995,266.619995,266.619995,250.760849,0
2019-08-13,270.559998,270.559998,270.559998,270.559998,254.466537,0
2019-08-14,262.709991,262.709991,262.709991,262.709991,247.083481,0
2019-08-15,263.410004,263.410004,263.410004,263.410004,247.741821,0
2019-08-16,267.260010,267.260010,267.260010,267.260010,251.362854,0
2019-08-19,270.510010,270.510010,270.510010,270.510010,254.419495,0
2019-08-20,268.390015,268.390015,268.390015,268.390015,252.425629,0
2019-08-21,270.619995,270.619995,270.619995,270.619995,254.522964,0
2019-08-22,270.480011,270.480011,270.480011,270.480011,254.391312,0
2019-08-23,263.470001,263.470001,263.470001,263.470001,247.798279,0
2019-08-26,266.390015,266.390015,266.390015,266.390015,250.544647,0
2019-08-27,265.540009,265.540009,265.540009,265.540009,249.745148,0
2019-08-28,267.279999,267.279999,267.279999,267.279999,251.381653,0
2019-08-29,270.720001,270.720001,270.720001,270.720001,254.617020,0
2019-08-30,270.929993,270.929993,270.929993,270.929993,254.814514,0
2019-09-03,269.079987,269.079987,269.079987,269.079987,253.074570,0
2019-09-04,272.019989,272.019989,272.019989,272.019989,255.839722,0
2019-09-05,275.619995,275.619995,275.619995,275.619995,259.225525,0
2019-09-06,275.880005,275.880005,275.880005,275.880005,259.470123,0
2019-09-09,275.880005,275.880005,275.880005,275.880005,259.470123,0
2019-09-10,275.970001,275.970001,275.970001,275.970001,259.554718,0
2019-09-11,277.980011,277.980011,277.980011,277.980011,261.445190,0
2019-09-12,278.829987,278.829987,278.829987,278.829987,262.244598,0
2019-09-13,278.700012,278.700012,278.700012,278.700012,262.122375,0
2019-09-16,277.839996,277.839996,277.839996,277.839996,261.313507,0
2019-09-17,278.549988,278.549988,278.549988,278.549988,261.981232,0
2019-09-18,278.649994,278.649994,278.649994,278.649994,262.075378,0
2019-09-19,278.670013,278.670013,278.670013,278.670013,262.094116,0
2019-09-20,277.320007,277.320007,277.320007,277.320007,260.824463,0
2019-09-23,277.299988,277.299988,277.299988,277.299988,260.805695,0
2019-09-24,274.980011,274.980011,274.980011,274.980011,258.623627,0
2019-09-25,275.369995,275.369995,275.369995,275.369995,260.223480,0
2019-09-26,274.720001,274.720001,274.720001,274.720001,259.609222,0
2019-09-27,273.299988,273.299988,273.299988,273.299988,258.267334,0
2019-09-30,274.690002,274.690002,274.690002,274.690002,259.580963,0
2019-10-01,271.329987,271.329987,271.329987,271.329987,256.405701,0
2019-10-02,266.480011,266.480011,266.480011,266.480011,251.822540,0
2019-10-03,268.670013,268.670013,268.670013,268.670013,253.892075,0
2019-10-04,272.489990,272.489990,272.489990,272.489990,257.501862,0
2019-10-07,271.269989,271.269989,271.269989,271.269989,256.348969,0
2019-10-08,267.049988,267.049988,267.049988,267.049988,252.361130,0
2019-10-09,269.570007,269.570007,269.570007,269.570007,254.742554,0
2019-10-10,271.299988,271.299988,271.299988,271.299988,256.377350,0
2019-10-11,274.299988,274.299988,274.299988,274.299988,259.212311,0
2019-10-14,273.920013,273.920013,273.920013,273.920013,258.853271,0
2019-10-15,276.649994,276.649994,276.649994,276.649994,261.433044,0
2019-10-16,276.109985,276.109985,276.109985,276.109985,260.922760,0
2019-10-17,276.890015,276.890015,276.890015,276.890015,261.659882,0
2019-10-18,275.820007,275.820007,275.820007,275.820007,260.648743,0
2019-10-21,277.720001,277.720001,277.720001,277.720001,262.444244,0
2019-10-22,276.739990,276.739990,276.739990,276.739990,261.518127,0
2019-10-23,277.529999,277.529999,277.529999,277.529999,262.264648,0
